SECTION,b,c,A,e,B,g,C,i,D,k,l,F,n,A_2,- F,q,r,GPA,t,I,v,w,x,S,z,aa,bb,U,dd,ee,Q,gg,hh,ii,X,kk,ll,TOTAL,nn,INSTRUCTOR,pp,qq,rr,ss
ANTH-201-200,,,6,,3,,0,,0,,,0,,,9,,,3.666,,,,False,,,False,,,,False,,,,False,,,False,,9,,CARLSON D,,,,
,,,0.6667,,0.3333,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-501,,,15,,16,,7,,0,,,0,,,38,,,3.21,,,,False,,,False,,,,False,,,,True,,,False,,39,,PRATT J,,,,
,,,0.3947,,0.4211,,0.1842,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-502,,,3,14,,12,,2,,,2,,33,,,,2.424,,False,,,,False,,,,0,,,0,,,,False,,,33,,,BECK C,,,,
,,,0.0909,0.4242,,0.3636,,0.0606,,,0.0606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-201-599,,,16,37,,25,,7,,,2,,87,,,,2.666,,False,,,,False,,,,0,,,11,,,,False,,,98,,,BRYANT,V,,,
,,,0.1839,0.4253,,0.2874,,0.0805,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,40,70,,44,,9,,,4,,167,,,,2.796,,False,,,,False,,,,0,,,12,,,,False,,,179,,,,,,,
,,,0.2395,0.4192,,0.2635,,0.0539,,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-202-500,,,3,20,,12,,5,,,2,,42,,,,2.404,,False,,,,False,,,,0,,,5,,,,False,,,47,,,WATERS,M,,,
,,,0.0714,0.4762,,0.2857,,0.119,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,3,20,,12,,5,,,2,,42,,,,2.404,,False,,,,False,,,,0,,,5,,,,False,,,47,,,,,,,
,,,0.0714,0.4762,,0.2857,,0.119,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-500,,,3,2,,2,,0,,,2,,9,,,,2.444,,False,,,,False,,,,0,,,4,,,,False,,,13,,,GRAF K,,,,
,,,0.3333,0.2222,,0.2222,,0.0,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-204-502,,,4,5,,5,,0,,,0,,14,,,,2.928,,False,,,,False,,,,0,,,0,,,,False,,,14,,,GRAF K,,,,
,,,0.2857,0.3571,,0.3571,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,7,7,,7,,0,,,2,,23,,,,2.739,,False,,,,False,,,,0,,,4,,,,False,,,27,,,,,,,
,,,0.3043,0.3043,,0.3043,,0.0,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-501,,,11,25,,12,,7,,,2,,57,,,,2.631,,False,,,,False,,,,0,,,9,,,,False,,,66,,,ALVARD,M,,,
,,,0.193,0.4386,,0.2105,,0.1228,,,0.0351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-502,,,54,30,,3,,2,,,0,,89,,,,3.528,,False,,,,False,,,,0,,,0,,,,False,,,89,,,VIEIRA,DE,CASTRO,L,
,,,0.6067,0.3371,,0.0337,,0.0225,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-503,,,71,42,,7,,0,,,1,,121,,,,3.504,,False,,,,False,,,,0,,,2,,,,False,,,123,,,LYNCH D,,,,
,,,0.5868,0.3471,,0.0579,,0.0,,,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,,S,,,U,,,Q,,,,,X,,,TOTAL,,INSTRUCTOR,,,,
ANTH-205-504,,,65,,44,,14,,0,,,0,,,123,,,3.414,,0,,,,,False,,,,False,2,,,,,,False,,125,,LYNCH D,,,,
,,,0.5285,,0.3577,,0.1138,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-505,,,15,,33,,21,,4,,,0,,,73,,,2.808,,0,,,,,False,,,,False,1,,,,,,False,,74,,WINKING J,,,,
,,,0.2055,,0.4521,,0.2877,,0.0548,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-506,,,10,,8,,8,,1,,,0,,,27,,,3.0,,0,,,,,False,,,,False,0,,,,,,False,,27,,BURKE A,,,,
,,,0.3704,,0.2963,,0.2963,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-507,,,11,,15,,2,,0,,,1,,,29,,,3.206,,0,,,,,False,,,,False,0,,,,,,False,,29,,KENNEDY C,,,,
,,,0.3793,,0.5172,,0.069,,0.0,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-508,,,47,,22,,1,,0,,,0,,,70,,,3.657,,0,,,,,False,,,,False,0,,,,,,False,,70,,FARRAR J,,,,
,,,0.6714,,0.3143,,0.0143,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-599,,,13,,15,,19,,9,,,2,,,58,,,2.482,,0,,,,,False,,,,False,14,,,,,,False,,72,,BRYANT V,,,,
,,,0.2241,,0.2586,,0.3276,,0.1552,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-901,,,21,,3,,1,,0,,,0,,,25,,,3.8,,0,,,,,False,,,,False,0,,,,,,False,,25,,LAPORTE C,,,,
,,,0.84,,0.12,,0.04,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-902,,,16,,8,,1,,0,,,0,,,25,,,3.6,,0,,,,,False,,,,False,0,,,,,,False,,25,,LAPORTE C,,,,
,,,0.64,,0.32,,0.04,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-903,,,11,,13,,1,,0,,,0,,,25,,,3.4,,0,,,,,False,,,,False,0,,,,,,False,,25,,LAPORTE C,,,,
,,,0.44,,0.52,,0.04,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-904,,,17,,7,,0,,0,,,0,,,24,,,3.708,,0,,,,,False,,,,False,0,,,,,,False,,24,,LAPORTE C,,,,
,,,0.7083,,0.2917,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-905,,,20,,4,,0,,0,,,0,,,24,,,3.833,,0,,,,,False,,,,False,1,,,,,,False,,25,,LAPORTE C,,,,
,,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-906,,,17,,6,,2,,0,,,0,,,25,,,3.6,,0,,,,,False,,,,False,0,,,,,,False,,25,,LAPORTE C,,,,
,,,0.68,,0.24,,0.08,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-205-907,,,22,,3,,0,,0,,,0,,,25,,,3.88,,0,,,,,False,,,,False,0,,,,,,False,,25,,LAPORTE C,,,,
,,,0.88,,0.12,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,,,
ANTH-205-908,,,17,,7,,0,,0,,,1,,25,,,,3.56,,0,,,,0,,,0,,,,0,,,,0,,,25,,LAPORTE C,,,,
,,,0.68,,0.28,,0.0,,0.0,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,438,,285,,92,,23,,,7,,845,,,,3.33,,0,,,,0,,,0,,,,29,,,,0,,,874,,,,,,
,,,0.5183,,0.3373,,0.1089,,0.0272,,,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-501,,,19,,4,,3,,0,,,0,,26,,,,3.615,,0,,,,0,,,0,,,,0,,,,0,,,26,,LAUGHLIN T,,,,
,,,0.7308,,0.1538,,0.1154,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-502,,,24,,13,,3,,0,,,0,,40,,,,3.525,,0,,,,0,,,0,,,,1,,,,0,,,41,,HOPKINS A,,,,
,,,0.6,,0.325,,0.075,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-503,,,18,,20,,0,,3,,,5,,46,,,,2.934,,0,,,,0,,,0,,,,0,,,,0,,,46,,RATERMAN J,,,,
,,,0.3913,,0.4348,,0.0,,0.0652,,,0.1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-210-504,,,14,,13,,12,,2,,,0,,41,,,,2.951,,0,,,,0,,,0,,,,2,,,,0,,,43,,TSAI G,,,,
,,,0.3415,,0.3171,,0.2927,,0.0488,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,75,,50,,18,,5,,,5,,153,,,,3.209,,0,,,,0,,,0,,,,3,,,,0,,,156,,,,,,
,,,0.4902,,0.3268,,0.1176,,0.0327,,,0.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-501,,,15,,27,,35,,10,,,3,,90,,,,2.455,,0,,,,0,,,0,,,,9,,,,0,,,99,,DE RUITER D,,,,
,,,0.1667,,0.3,,0.3889,,0.1111,,,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-225-599,,,8,,19,,10,,4,,,3,,44,,,,2.568,,1,,,,0,,,0,,,,5,,,,0,,,50,,GURSKY S,,,,
,,,0.1818,,0.4318,,0.2273,,0.0909,,,0.0682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,23,,46,,45,,14,,,6,,134,,,,2.492,,1,,,,0,,,0,,,,14,,,,0,,,149,,,,,,
,,,0.1716,,0.3433,,0.3358,,0.1045,,,0.0448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-501,,,5,,7,,2,,1,,,0,,15,,,,3.066,,0,,,,0,,,0,,,,0,,,,0,,,15,,FORD B,,,,
,,,0.3333,,0.4667,,0.1333,,0.0667,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-502,,,11,,5,,0,,1,,,1,,18,,,,3.333,,0,,,,0,,,0,,,,0,,,,0,,,18,,CANTERBURY J,,,,
,,,0.6111,,0.2778,,0.0,,0.0556,,,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTH-226-504,,,3,,6,,1,,1,,,0,,11,,,,3.0,,0,,,,0,,,0,,,,1,,,,0,,,12,,CANTERBURY J,,,,
,,,0.2727,,0.5455,,0.0909,,0.0909,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
