BUSH-631-601,b,12,d,e,7,g,0,i,0_2,k,l,0_3,n,o,19,q,3.631,s,t,0_4,v,w,x,0_5,z,aa,0_6,cc,dd,0_7,ff,gg,hh,0_8,jj,kk,19_2,mm,NIELSEN,R,pp,qq
,,0.6316,,,0.3684,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-602,,18,,,5,,0,,0,,,0,,,23,,3.782,,,False,,,,False,,,False,,,False,,,,False,,,23,,NIELSEN,R,,
,,0.7826,,,0.2174,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-631-700,,20,,,2,,2,,0,,,0,,,24,,3.75,,,False,,,,False,,,False,,,True,,,,False,,,25,,BULLOCK,J,,
,,0.8333,,,0.0833,,0.0833,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,50,,,14,,2,,0,,,0,,,66,,3.727,,,False,,,,False,,,False,,,True,,,,False,,,67,,,,,
,,0.7576,,,0.2121,,0.0303,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-632-600,,26,,,0,,0,,0,,,0,,,26,,4.0,,,False,,,,False,,,False,,,False,,,,False,,,26,,BULLOCK,J,,
,,1.0,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,26,,,0,,0,,0,,,0,,,26,,4.0,,,False,,,,False,,,False,,,False,,,,False,,,26,,,,,
,,1.0,,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-601,,18,,,8,,1,,0,,,0,,,27,,3.629,,,False,,,,False,,,False,,,False,,,,False,,,27,,SELLARS,E,,
,,0.6667,,,0.2963,,0.037,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-602,,11,,,5,,2,,0,,,0,,,18,,3.5,,,False,,,,False,,,False,,,False,,,,False,,,18,,CORTES K,,,
,,0.6111,,,0.2778,,0.1111,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSH-635-603,,11,,,5,,0,,0,,,0,,,16,,3.687,,,False,,,,False,,,False,,,False,,,,False,,,16,,LAHEY J,,,
,,0.6875,,,0.3125,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,40,,,18,,3,,0,,,0,,,61,,3.606,,,False,,,,False,,,False,,,False,,,,False,,,61,,,,,
,,0.6557,,,0.2951,,0.0492,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,116,,,32,,5,,0,,,0,,,1533.725,,,,,False,,,,False,,,False,,,True,,,,False,,,154,,,,,
,,0.7582,,,0.2092,,0.0327,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,A       B        C       D,,,,,,,,,F      A - F,,,,,,GPA     I,,,,,S     U     Q,,,,,,,,,,X    TOTAL,,,,,,,INSTRUCTOR,,,,
INTA-601-600,,,8,,2,,0,,0,,,0,,10,,,3.8,,False,,,,False,,,False,,,True,,,,False,,,11,,,MUSOMA H,,,
,,,0.8,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,8,,2,,0,,0,,,0,,10,,,3.8,,False,,,,False,,,False,,,True,,,,False,,,11,,,,,,
,,,0.8,,0.2,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-603-700,,,5,,2,,1,,1,,,1,,10,,,2.9,,False,,,,False,,,False,,,True,,,,False,,,11,,,FEIL S,,,
,,,0.5,,0.2,,0.1,,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,5,,2,,1,,1,,,1,,10,,,2.9,,False,,,,False,,,False,,,True,,,,False,,,11,,,,,,
,,,0.5,,0.2,,0.1,,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-604-700,,,4,,2,,3,,0,,,0,,9,,,3.111,,False,,,,False,,,False,,,False,,,,False,,,9,,,TALBOT B,,,
,,,0.4444,,0.2222,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,4,,2,,3,,0,,,0,,9,,,3.111,,False,,,,False,,,False,,,False,,,,False,,,9,,,,,,
,,,0.4444,,0.2222,,0.3333,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-601,,,7,,4,,0,,0,,,0,,11,,,3.636,,False,,,,False,,,False,,,False,,,,False,,,11,,,CESARIO B,,,
,,,0.6364,,0.3636,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-602,,,6,,4,,0,,0,,,0,,10,,,3.6,,False,,,,False,,,False,,,False,,,,True,,,11,,,HERMANN C,,,
,,,0.6,,0.4,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-603,,,4,,3,,1,,0,,,0,,8,,,3.375,,False,,,,False,,,False,,,False,,,,False,,,8,,,CESARIO B,,,
,,,0.5,,0.375,,0.125,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-700,,,9,,3,,0,,1,,,1,,14,,,3.285,,False,,,,False,,,False,,,False,,,,False,,,14,,,LASALA P,,,
,,,0.6429,,0.2143,,0.0,,0.0714,,,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,26,,14,,1,,1,,,1,,43,,,3.465,,False,,,,False,,,False,,,False,,,,True,,,44,,,,,,
,,,0.6047,,0.3256,,0.0233,,0.0233,,,0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-608-600,,,22,,2,,0,,0,,,0,,24,,,3.916,,False,,,,False,,,False,,,False,,,,False,,,24,,,LENZ E,,,
,,,0.9167,,0.0833,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
