SECTION,A,c,B,e,C,g,D,i,F,k,A_2,m,-,F_2,p,GPR,r,I,S,u,U,w,Q,y,z,aa,X,cc,dd,TOTAL,ff,gg,INSTRUCTOR,ii,jj,kk,ll,mm,nn
NURS-313-500,,10,,12,,1,,0,,0,,23,,,,,3.391,False,,False,,False,,,False,,,False,,,,23,,BONNER R,,,,,
,,0.4348,,0.5217,,0.0435,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,10,12,,1,,0,,0,,23,,,,,3.391,,False,False,,False,,False,,,,False,,,23,,,,,,,,,
,,0.4348,0.5217,,0.0435,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-314-900,,24,0,,0,,0,,0,,24,,,,,4.0,,False,False,,False,,False,,,,False,,,24,,,STOUT AGUILAR,,,,J,,
,,1.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      24,,,0,,0,,0,,0,,24,,,,,4.0,,False,False,,False,,False,,,,False,,,24,,,,,,,,,
1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-500           12,,,33,,4,,1,,0,,50,,,,,3.12,,False,False,,False,,False,,,,False,,,50,,,MOUNTAIN A,,,,,,
0.24,,,0.66,,0.08,,0.02,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-320-501            4,,,10,,4,,0,,0,,18,,,,,3.0,,False,False,,False,,False,,,,False,,,18,,,BOSENBARK M,,,,,,
0.2222,,,0.5556,,0.2222,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      16,,,43,,8,,1,,0,,68,,,,,3.088,,False,False,,False,,False,,,,False,,,68,,,,,,,,,
0.2353,,,0.6324,,0.1176,,0.0147,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-323-500           22,,,38,,1,,0,,0,,61,,,,,3.344,,False,False,,False,,False,,,,False,,,61,,,WHITE-COREY,,,S,,,
0.3607,,,0.623,,0.0164,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      22,,,38,,1,,0,,0,,61,,,,,3.344,,False,False,,False,,False,,,,False,,,61,,,,,,,,,
0.3607,,,0.623,,0.0164,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-411-900           23,,,0,,0,,0,,0,,23,,,,,4.0,,False,False,,False,,False,,,,False,,,23,,,REYNOLDS R,,,,,,
1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NURS-411-901           18,,,0,,0,,0,,0,,18,,,,,4.0,,False,False,,False,,False,,,,False,,,18,,,REYNOLDS R,,,,,,
1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:      41,,,0,,0,,0,,0,,41,,,,,4.0,,False,False,,False,,False,,,,False,,,41,,,,,,,,,
1.0,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION              A       B       C        D       F      A - F  GPR    I     S     U      Q     X     TOTAL  INSTRUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NURS-412-500
NURS-412-501
COURSE TOTAL:
NURS-413-500
COURSE TOTAL:
NURS-420-500
COURSE TOTAL:
NURS-432-501
COURSE TOTAL:
NURS-460-700
COURSE TOTAL:
NURS-461-700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,17,,2,,0,,0,,23,,,,3.087,,False,,False,,False,,False,,,,False,,,23,,,DECKER W,,,,,
,,0.1739,,0.7391,,0.087,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,,13,,3,,0,,0,,18,,,,2.944,,False,,False,,False,,False,,,,False,,,18,,,DECKER W,,,,,
,,0.1111,,0.7222,,0.1667,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,30,,5,,0,,0,,41,,,,3.024,,False,,False,,False,,False,,,,False,,,41,,,,,,,,
,,0.1463,,0.7317,,0.122,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,,40,,1,,0,,0,,70,,,,3.4,,False,,False,,False,,False,,,,False,,,70,,,PITTMAN A,,,,,
,,0.4143,,0.5714,,0.0143,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,,40,,1,,0,,0,,70,,,,3.4,,False,,False,,False,,False,,,,False,,,70,,,,,,,,
,,0.4143,,0.5714,,0.0143,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,5,,1,,0,,0,,10,,,,3.3,,False,,False,,False,,False,,,,False,,,10,,,MUFICH M,,,,,
,,0.4,,0.5,,0.1,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,5,,1,,0,,0,,10,,,,3.3,,False,,False,,False,,False,,,,False,,,10,,,,,,,,
,,0.4,,0.5,,0.1,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,,1,,0,,0,,0,,48,,,,3.979,,False,,False,,False,,False,,,,False,,,48,,,VAN S,,,,,
,,0.9792,,0.0208,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,47,,1,,0,,0,,0,,48,,,,3.979,,False,,False,,False,,False,,,,False,,,48,,,,,,,,
,,0.9792,,0.0208,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,5,,0,,0,,0,,13,,,,3.615,,False,,False,,False,,False,,,,False,,,13,,,AUTHEMENT,R,,,,
,,0.6154,,0.3846,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,5,,0,,0,,0,,13,,,,3.615,,False,,False,,False,,False,,,,False,,,13,,,,,,,,
,,0.6154,,0.3846,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,3,,2,,0,,0,,13,,,,3.462,,False,,False,,False,,False,,,,False,,,13,,,PISHEK J,,,,,
,,0.6154,,0.2308,,0.1538,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
